word,hint,difficulty
HILARIOUS,Extremely amusing,easy
HINTERLAND,Remote inland region,hard
HIVE,A structure where bees live,easy
HOGWARTS,School for witches and wizards in Harry Potter,easy
HOLIDAY,A period of time away from work or school,easy
HOLOGRAM,A three-dimensional image formed by light,hard
HOMEPAGE,The main entry page of a website,easy
HONEY,A sweet sticky liquid produced by bees,easy
HOPE,A feeling of expectation and desire for something to happen,easy
HORIZON,The line where the earth and sky appear to meet,easy
HORROR,A genre designed to frighten and disturb the audience,easy
HOST,A server that stores and delivers a website,hard
HOTDOG,A cooked sausage served in a long bun,easy
HOUR,A twenty-fourth part of a day,easy
HOUSE,A building where people live,easy
HOUSTON,The Space City and largest city of Texas,easy
HULK,A Marvel hero who transforms when angry,easy
HUNGRY,Feeling the need to eat,easy
HURRICANE,A powerful tropical storm,easy
HYBRID,A thing made by combining two different elements,hard
HYDRA,Multi-headed mythical water serpent,easy
HYDRATE,To supply with water,easy
HYDROGEN,The lightest and most abundant element in the universe,easy
HYENA,Scavenging mammal,easy
HYPOTHETICAL,Based on a suggested theory or scenario,hard
ICEBERG,A large floating mass of ice,easy
ICECAP,A mass of ice covering a region,easy
ICON,A person or thing regarded as a symbol,easy
ICONOCLAST,A person who attacks cherished beliefs or institutions,hard
IDOL,A person greatly admired and looked up to,easy
IGLOO,Snow house,easy
IGNEOUS,Rock formed from magma or lava,hard
ILLUSION,False perception,easy
IMBUE,To inspire or permeate,hard
IMMINENT,About to happen,hard
IMMUTABLE,Unchanging over time or unable to be changed,hard
IMPECCABLE,In accordance with the highest standards; faultless,hard
IMPETUOUS,Acting quickly without thought or care,hard
IMPINGE,To have an encroaching or negative effect on,hard
IMPRINT,Mark made by pressure,easy
IMPROVISATION,Performance created spontaneously without preparation,hard
INBOX,The folder where incoming messages are received,easy
INCISIVE,Intelligently analytical and clear-thinking,hard
INCOGNITO,With one's identity concealed,hard
INCORRIGIBLE,Not able to be corrected or reformed,hard
INCUBATE,Maintain conditions for growth,hard
INDIA,Country home to the Taj Mahal,easy
INDIAN,The ocean located between Africa and Australia,easy
INDIGO,Deep blue color,easy
INDOLENT,Wanting to avoid activity or exertion; lazy,hard
INERT,Lacking the ability or tendency to move or react,hard
INERTIA,Resistance to a change in motion,hard
INEVITABLE,Certain to happen; unavoidable,hard
INFER,To deduce,easy
INFLUENCER,A social media user with a large and engaged following,easy
INFUSE,To steep or fill,hard
INGOT,Block of metal,hard
INLET,A small arm of the sea,easy
INSCRIBE,Write or carve onto a surface,hard
INSTAGRAM,Social media app centered on sharing photos,easy
INSULIN,A hormone that regulates blood sugar levels,hard
INTERLUDE,Pause between events,hard
INTERMISSION,A short break between acts of a performance,easy
INTERNET,The global system of interconnected computer networks,easy
INTREPID,Fearless and adventurous,hard
INURED,Accustomed to something difficult or unpleasant,hard
INVETERATE,Having a habit or activity that is long-established,hard
ION,Charged particle,hard
IPHONE,Apple's flagship smartphone,easy
IRON,A strong metal used to make steel,easy
IRONMAN,Billionaire Tony Stark's superhero alter ego,easy
ISLAND,Land completely surrounded by water,easy
ISOTOPE,Atoms of the same element with different neutrons,hard
ISTHMUS,Narrow land connecting two larger areas,hard
ITALY,European country shaped like a boot,easy
IVORY,A hard white material from elephant tusks,hard
JACKSON,The King of Pop's family name,easy
JAKARTA,The capital city of Indonesia,hard
JANUARY,The first month of the year,easy
JARGON,Special words used by a specific group,easy
JAVA,A widely used object-oriented programming language,hard
JAVELIN,A spear thrown in a track and field event,hard
JEOPARDY,Danger of loss; harm; or failure,hard
JERSEY,The shirt worn by a player as part of a team uniform,easy
JEST,A thing said or done for amusement,easy
JETSTREAM,A fast flowing air current in the atmosphere,hard
JETTY,Structure extending into water,hard
JOCULAR,Fond of or characterized by joking,hard
JOKER,Batman's iconic arch-nemesis,easy
JOURNEY,The act of traveling from one place to another,easy
JOVIAL,Cheerful and friendly,hard
JOYSTICK,Classic stick-based gaming input device,easy
JUBILANT,Feeling or expressing great happiness,hard
JUDICIOUS,Having or showing good judgment or sense,hard
JUDO,Martial art focused on throwing and grappling,easy
JUICE,A drink made from squeezed fruit,easy
JULY,The seventh month; often the hottest month of summer,easy
JUNCTION,A point where things join,easy
JUNE,The sixth month; the start of summer in the northern hemisphere,easy
JUNGLE,Dense tropical forest,easy
JUPITER,The largest planet in our solar system,easy
JURASSIC,A geological period when dinosaurs dominated the Earth,easy
JURISDICTION,Legal authority area,hard
JUXTAPOSE,Place things close together to highlight contrast,hard
KALEIDOSCOPE,A constantly changing pattern or scene,hard
KANGAROO,Large Australian marsupial with a powerful tail,easy
KARATE,Japanese martial art involving strikes and kicks,easy
KARST,A landscape formed from dissolved limestone,hard
KESTONE,The central stone in an arch,hard
KETTLE,A container used for boiling water,easy
KEYBOARD,An input device with keys for typing text,easy
KEYS,Small metal tools used to open locks,easy
KILN,A furnace for firing pottery,easy
KINDLE,To light or set something on fire,easy
KINDRED,Similar in kind; related,hard
KINETIC,Relating to or resulting from motion,hard
KINGDOM,A major classification in biology,hard
KISMET,Destiny or fate,hard
KITCHEN,A room used for cooking food,easy
KNACK,A special skill or talent for something,easy
KNIFE,A cutting tool with a sharp blade,easy
KNIGHT,A medieval warrior in armor,easy
KNOLL,Small hill,easy
KNOTTY,Extremely difficult or complex,hard
KOALA,Australian tree-dwelling marsupial,easy
LABYRINTH,A complicated irregular network of paths,hard
LABYRINTHINE,Like a complex irregular network of passages,hard
LACONIC,Using very few words,hard
LACROSSE,Fast-paced sport played with a small ball and long-handled net stick,easy
LAGOON,A shallow body of water separated from the sea,easy
LAGOS,The largest city in Nigeria,hard
LAMP,A device that provides artificial light,easy
LANTANA,A flowering tropical plant,hard
LANTERN,A portable light with a protective enclosure,easy
LAPTOP,A portable computer designed for use on the go,easy
LATENCY,Delay in data transfer,hard
LATERAL,Sideways,hard
LATITUDE,Distance north or south of the equator,hard
LATTICE,Crisscross structure,hard
LAUGH,To make sounds of amusement or joy,easy
LAVA,Molten rock expelled by a volcano,easy
LAVISH,Rich; elaborate; or spent in great amounts,easy
LEAGUE,An organized group of sports teams that compete regularly,easy
LEGEND,An extremely famous and respected person in a field,easy
LEGUME,A plant that produces pods like beans,easy
LEIA,Princess who led the Rebel Alliance,easy
LEMON,Yellow sour citrus fruit,easy
LENNON,The Beatle who wrote Imagine,easy
LETHARGY,A lack of energy and enthusiasm,hard
LETTUCE,A green leafy vegetable used as the base of salads,easy
LEVEE,Embankment to prevent flooding,hard
LEVEL,A single stage or section within a video game,easy
LIBRARY,Place where books are kept and borrowed,easy
LIBRETTO,The text of an opera or musical,hard
LIGHTNING,Electrical flash in the sky,easy
LIMESTONE,A sedimentary rock made of calcium carbonate,easy
LINK,A clickable connection from one web page to another,easy
LINUX,A free open-source operating system used by developers,hard
LION,Large African cat known as the king of the jungle,easy
LISBON,Capital city of Portugal,hard
LOGIN,The process of entering credentials to access a system,easy
LOGOUT,The process of ending a session on a computer system,easy
LONDON,City home to Big Ben and Buckingham Palace,easy
LOQUACIOUS,Tending to talk a great deal,hard
LOVE,A deep feeling of affection toward someone,easy
LUCIDITY,Clarity of expression; intelligibility,hard
LUKE,Skywalker who faced the Empire,easy
LUMINOUS,Giving off light,hard
LUNAR,Relating to the moon,easy
LUNCH,A meal eaten in the middle of the day,easy
LYRIC,Words of a song,easy
MADONNA,The Queen of Pop,easy
MADRID,Capital city of Spain,easy
MAGIC,The art of producing effects through supernatural means,easy
MAGMA,Molten rock below Earth’s surface,easy
MAGNANIMOUS,Generous or forgiving toward rivals,hard
MAGNET,A material that attracts iron or steel,easy
MAHJONG,A Chinese tile-based game usually played by four people,hard
MALLEABLE,Able to be shaped or influenced easily,hard
MALWARE,Software designed to damage or gain access to a computer,hard
MAMMAL,A warm-blooded vertebrate with hair or fur,easy
MANDATE,Official order,hard
MANILA,The capital city of the Philippines,easy
MANTRA,A word or phrase repeated for focus or motivation,easy
MARATHON,A long-distance running race of 26.2 miles,easy
MARCH,The third month; often associated with the start of spring,easy
MARIO,Nintendo's famous mustachioed plumber,easy
MARKET,A place where goods are sold,easy
MARS,The Red Planet,easy
MARSH,Wetland area,easy
MARVEL,Comic book universe home to the Avengers,easy
MATCH,A competitive game between two players or teams,easy
MATRIX,Environment or structure,hard
MAUDLIN,Self-pityingly or tearfully sentimental,hard
MAY,The fifth month of the year,easy
MEADOW,Field of grass and flowers,easy
MEDAL,A metal disc awarded as a prize in sport or competition,easy
MEGABYTE,A unit of digital data equal to one million bytes,easy
MELANCHOLY,A feeling of pensive sadness,hard
MELLIFLUOUS,Sweet or musical; pleasant to hear,hard
MEME,A humorous image or phrase spread rapidly online,easy
MENDACIOUS,Not telling the truth; lying,hard
MENU,A list of dishes available at a restaurant,easy
MERCURIAL,Subject to sudden or unpredictable changes of mood,hard
MERCURY,The smallest planet and the one closest to the sun,easy
MERIDIAN,Imaginary north-south line,hard
METAMORPHIC,Rock altered by heat and pressure,hard
METAMORPHOSIS,Process of transformation from one form to another,hard
METEOR,A space rock that burns up entering Earth's atmosphere,easy
METICULOUS,Showing great attention to detail,hard
MEXICO,Country directly south of the USA,easy
MIAMI,Sunny coastal city in southern Florida,easy
MICROBE,Microscopic organism,easy
MICROSCOPE,Instrument for viewing tiny objects,easy
MIDNIGHT,Twelve o'clock in the middle of the night,easy
MILK,A white liquid produced by cows and other mammals,easy
MILLENNIUM,A period of one thousand years,easy
MINECRAFT,Hugely popular sandbox game about building with blocks,easy
MINERAL,Naturally occurring substance,easy
MINUS,The symbol for subtraction,easy
MINUTE,A sixtieth part of an hour,easy
MIRAGE,Optical illusion,easy
MIRROR,A surface that reflects an image,easy
MITOSIS,The process by which a cell divides into two identical cells,hard
MOBILE,A small handheld device that can connect to a network,easy
MODEM,A device that connects a computer to the internet,hard
MOLECULE,A group of two or more atoms bonded together,easy
MONDAY,The first day of the working week,easy
MONKEY,A clever primate with a tail,easy
MONOLOGUE,A long speech delivered by one person,hard
MONSOON,Seasonal heavy rain,hard
MONSTER,A large imaginary creature that is threatening,easy
MONTH,One of the twelve periods into which a year is divided,easy
MOON,Earth's natural satellite,easy
MORAINE,Glacial debris deposit,hard
MORNING,The part of the day from sunrise to noon,easy
MOSAIC,Art made from small colored pieces,easy
MOTIF,Recurring design element,hard
MOUNTAIN,A very tall natural landform,easy
MOUSE,Small rodent with a long thin tail,easy
MUNDANE,Lacking interest or excitement; dull,easy
MUSEUM,Place where historical objects are displayed,easy
MUSICAL,A show or film combining dialogue; song; and dance,easy
MUTATION,Genetic change,hard
MYCELIUM,Fungal root network,hard
MYRIAD,A countless or extremely great number,hard
MYSTERY,A genre built around a crime or puzzle to be solved,easy
NAIROBI,The capital city of Kenya,hard
NAPKIN,A small cloth or paper used to wipe the mouth while eating,easy
NAVIGATE,To plan and direct a route or course,hard
NEBULA,A cloud of gas and dust in space,hard
NEBULOUS,Hazy; vague; or indistinct,hard
NECTAR,Sweet liquid from flowers,easy
NEFARIOUS,Wicked or criminal,hard
NEGLIGIBLE,So small or unimportant as to be worth ignoring,hard
NEOPHYTE,A person who is new to a subject or activity,hard
NEPTUNE,The eighth and furthest planet from the sun,easy
NET,A mesh barrier used in tennis; soccer; and other sports,easy
NETFLIX,Major video streaming service,easy
NETWORK,A system of connected computers or devices,easy
NEUTRON,A neutral subatomic particle found in an atom's nucleus,hard
NEXUS,Connection or link,hard
NICKEL,A hard silvery metal also the name of a US 5-cent coin,easy
NIGHT,Time of darkness between sunset and sunrise,easy
NINTENDO,Japanese gaming company behind Mario and Zelda,easy
NIRVANA,Iconic grunge band led by Kurt Cobain,easy
NITRATE,Chemical compound with nitrogen,hard
NITROGEN,The gas that makes up about 78 percent of Earth's atmosphere,hard
NOCTURNAL,Active at night,easy
NOMAD,A person who moves from place to place,easy
NOMINEE,A person or work proposed for an award,easy
NONCHALANT,Feeling or appearing casually calm,hard
NOODLES,Long thin strips of pasta or dough used in Asian cooking,easy
NOON,Twelve o'clock in the middle of the day,easy
NORWAY,Scandinavian country famous for its fjords,easy
NOSTALGIA,Sentimental longing for the past,hard
NOTEBOOK,Book for writing notes,easy
NOVA,Star explosion,hard
NOVEMBER,The eleventh month of the year,easy
NOVICE,A person new to a field or activity,easy
NUCLEAR,Relating to the energy in the nucleus of an atom,easy
NUCLEUS,The dense central core of an atom,hard
OASIS,A fertile spot in a desert where water is found,easy
OBELISK,Tall stone pillar,hard
OBFUSCATE,To make something unclear,hard
OBLIQUE,Neither parallel nor at a right angle,hard
OBLIVIOUS,Not aware of or concerned about what is happening,hard
OBSEQUIOUS,Obedient or attentive to an excessive degree,hard
OBSIDIAN,A dark volcanic glass formed from cooled lava,hard
OCEAN,A vast body of salt water,easy
OCTAGON,A polygon with eight sides,easy
OCTAVE,Interval of eight notes,easy
OCTOBER,The tenth month; associated with Halloween,easy
ODYSSEY,Long journey,hard
OFFLINE,Not connected to the internet,easy
OLYMPIC,Relating to the international multi-sport Olympic Games,easy
OMEGA,The last letter of the Greek alphabet,easy
OMINOUS,Giving the impression that something bad will happen,easy
OMNIPOTENT,Having unlimited or very great power,hard
ONION,A layered pungent bulb used as a vegetable,easy
ONLINE,Connected to and using the internet,easy
ONTARIO,The Canadian province that is home to Ottawa and Toronto,easy
OPAQUE,Not transparent,easy
OPERA,A dramatic art form in which dialogue is sung,easy
OPERETTA,A lighthearted opera with spoken dialogue,hard
OPRAH,Queen of daytime talk shows,easy
OPULENT,Ostentatiously rich and luxurious,hard
ORACLE,Source of wise advice,hard
ORANGE,Round citrus fruit,easy
ORATORIO,A large-scale choral work on a religious theme,hard
ORBIT,The curved path of a celestial object,easy
ORBITAL,Path around a nucleus,hard
ORCHESTRA,Large ensemble of musicians,easy
ORCHID,Flowering plant,easy
ORIGIN,Beginning point,easy
OSCAR,Academy Award for excellence in film,easy
OSTENTATIOUS,Characterized by pretentious or showy display,hard
OUTCROP,Exposed rock formation,hard
OVATION,Applause,easy
OVEN,A kitchen appliance used for baking and roasting,easy
OVERTURE,An orchestral introduction to an opera or musical,hard
OXYGEN,Gas we need to breathe,easy
OZONE,Gas layer protecting Earth,easy
PACIFIC,The world's largest ocean,easy
PACMAN,Iconic yellow arcade character who eats dots,easy
PALISADE,Defensive fence,hard
PANDEMONIUM,Wild and noisy disorder or confusion,hard
PANTS,Clothing worn on the legs,easy
PAPARAZZI,Photographers who pursue celebrities for candid shots,easy
PAPER,Thin flat material used for writing or printing,easy
PARADIGM,A typical example or pattern of something,hard
PARADOX,Contradictory statement that may be true,easy
PARCHMENT,A writing material made from animal skin,hard
PARODY,An imitation of a work done for comic effect,easy
PARROT,Colorful talking bird,easy
PARSEC,Unit of astronomical distance,hard
PARSIMONY,Extreme unwillingness to spend money,hard
PARTY,A social gathering for fun and celebration,easy
PASSWORD,A secret word used to gain access to a system,easy
PASTA,Italian food made from flour and water dough,easy
PASTE,To insert previously copied content into a new location,easy
PASTRY,A dough used for making pies; tarts; and other baked goods,easy
PAVILION,Open-sided structure,easy
PEACE,Freedom from conflict or disturbance,easy
PEBBLE,Small stone,easy
PENCIL,A tool used for writing or drawing,easy
PENDULUM,A weight swinging from a fixed point,hard
PENGUIN,Flightless bird of the Antarctic,easy
PENINSULA,Land surrounded by water on three sides,easy
PENITENT,Feeling or showing sorrow and regret for wrongdoing,hard
PENTAGON,A polygon with five sides,easy
PEPPER,A hollow vegetable that can be red; yellow; or green,easy
PERCENT,A proportion expressed as parts per hundred,easy
PERIMETER,Boundary line,easy
PERNICIOUS,Having a harmful effect,hard
PHALANX,Military formation,hard
PHANTOM,Masked musical character who haunts an opera house,easy
PHISHING,Fraudulent attempts to steal personal information online,hard
PHOENIX,A mythical bird that rises from its own ashes,easy
PHOSPHORUS,Chemical element,hard
PHOTOSYNTHESIS,The process by which plants use sunlight to make food,hard
PHYSICS,The study of matter; energy; and the forces of nature,easy
PILLAR,Tall vertical structure,easy
PIRATE,Seafaring robber,easy
PIXAR,Animation studio that made Toy Story,easy
PIXEL,The smallest unit of a digital image,easy
PIZZA,Flatbread topped with cheese and tomato sauce,easy
PLANET,A large body orbiting a star,easy
PLANKTON,Microscopic sea organisms,hard
PLASMA,State of matter,hard
PLATE,A flat dish used for serving and eating food,easy
PLATEAU,Flat elevated land,easy
PLATINUM,A rare dense silvery-white precious metal,hard
PLAYER,A person who participates in a sport or game,easy
PLAYSTATION,Sony's line of home gaming consoles,easy
PLAYWRIGHT,A person who writes plays,hard
PLETHORA,A large or excessive amount of something,hard
PLOT,The series of events that make up a story,easy
PLUME,Feather or smoke column,easy
PLUS,The symbol for addition,easy
PLUTO,The most famous dwarf planet in the solar system,easy
PLUTONIUM,A highly radioactive element used in nuclear weapons,hard
PODCAST,An audio programme available for streaming or download,easy
POINT,A single unit of scoring in a game,easy
POKEMON,Franchise about collecting and battling pocket monsters,easy
POKER,A card game involving betting and bluffing,easy
POLAR,Relating to poles,easy
POLYGON,Shape with many sides,easy
POPCORN,Light snack made from heated corn kernels,easy
PORTAL,A gateway website that links to many other services,hard
PORTLAND,The largest city in Oregon,easy
POTATO,Starchy underground tuber used in cooking,easy
POTTER,The boy wizard with a lightning bolt scar,easy
PRAGMATIC,Dealing with things sensibly and realistically,hard
PRAGUE,Historic capital of the Czech Republic,hard
PREMIERE,The first public showing of a film or performance,easy
PREQUEL,A story set before the events of an earlier work,easy
PRESENT,Another word for a gift or the current moment in time,easy
PRESLEY,The King of Rock and Roll's surname,easy
PRINCE,The Purple One and rock music legend,easy
PRINTER,A machine that transfers text or images onto paper,easy
PRISM,Glass that separates light into colors,easy
PRISTINE,In its original unspoilt condition,hard
PRODUCER,The person responsible for the financing and logistics of a production,hard
PROSCENIUM,The arch that frames the front of a stage,hard
PROTAGONIST,The main character in a story,hard
PROTON,A positively charged subatomic particle in an atom's nucleus,hard
PROTRACTOR,A semicircular instrument for measuring angles,hard
PROXIMA,The star nearest to our own sun,hard
PROXY,A server that acts as an intermediary between users and the web,hard
PUZZLE,A game that tests your ingenuity,easy
PYLON,Tower supporting cables,hard
PYRAMID,Ancient structure with a square base and triangular sides,easy
PYTHON,A popular versatile high-level programming language,hard
QUANTUM,Smallest unit in physics,hard
QUARRY,Stone excavation site,easy
QUARTERBACK,The offensive player who leads plays in American football,hard
QUARTZ,A hard mineral often found in crystals,hard
QUASAR,Extremely bright galactic core,hard
QUEBEC,The French-speaking province of Canada,easy
QUEEN,Female monarch,easy
QUELL,To suppress,hard
QUERULOUS,Complaining in a petulant or whining manner,hard
QUEST,A mission or task in a role-playing game,easy
QUICKSAND,Loose wet sand that yields easily to pressure,easy
QUILL,Feather pen,easy
QUINTESSENTIAL,Representing the most perfect example,hard
QUIVER,A case for holding arrows,hard
QUORUM,Minimum members needed for a meeting,hard
QUOTA,A fixed share of something,hard
RABBIT,Long-eared hopping mammal,easy
RACE,A competitive event to see who is fastest,easy
RADAR,A system for detecting objects using radio waves,hard
RADIANT,Shining brightly,easy
RADIUS,Distance from the center to the edge of a circle,easy
RAIN,Droplets of water that fall from clouds,easy
RAINBOW,A colorful arc seen in the sky after rain,easy
RAVINE,Deep narrow valley,easy
REACTOR,Device producing energy,hard
RECALCITRANT,Obstinately uncooperative,hard
RECIPE,A set of instructions for preparing a dish,easy
RECORD,The best performance ever achieved in a sport or activity,easy
RECTANGLE,A four-sided shape with four right angles,easy
REFEREE,An official who enforces the rules during a game,easy
REFRACT,Bend light,easy
REFRESH,To reload a web page with updated content,easy
REHEARSAL,A practice session for an upcoming performance,easy
REITERATE,To say or do something again for emphasis,hard
RELIC,An object surviving from an earlier time,hard
REMAKE,A new version of an existing film or song,easy
REMINISCE,Indulge in enjoyable recollection of past events,hard
REPUBLIC,Government with elected leaders,easy
REPUGNANT,Extremely distasteful; unacceptable,hard
RESERVOIR,A large natural or artificial lake used for storage,easy
RESILIENCE,Ability to recover quickly,easy
RESTAURANT,A place where meals are served to customers,easy
REVERENCE,Deep respect for someone or something,hard
REVERIE,A state of being lost in one's thoughts,hard
REVIEW,A critical assessment of a film; book; or performance,easy
REVILE,Criticize in an abusive or insulting manner,hard
RICE,A staple grain grown in flooded paddies,easy
RIFT,Crack or split,easy
RIHANNA,Pop superstar from Barbados,easy
RIPPLE,A small wave on the surface of water,easy
RITUAL,A religious or solemn ceremony,easy
RIVAL,A person or team competing against another,easy
RIVER,A large natural stream of water,easy
ROBLOX,Online platform hosting user-created games,easy
ROBOT,A machine that can carry out complex tasks automatically,easy
ROCKET,A vehicle used to travel to space,easy
ROMANCE,A genre focused on love stories,easy
ROME,The Eternal City and capital of Italy,easy
RONALD,The loyal red-haired Weasley boy,easy
ROSTER,List of names,easy
ROUTER,A device that directs internet traffic between networks,hard
ROW,A horizontal line of seats,easy
ROWING,Sport of racing long narrow boats with oars,easy
RUDDER,Steering device,easy
RUGBY,Contact team sport played with an oval ball,easy
RULER,A straight-edged strip used to measure length,easy
RUNE,Ancient symbol,hard
RUNNING,Moving rapidly on foot in competition,easy
RUSSIA,The world's largest country by land area,easy
SABER,Curved sword,easy
SAFARI,The web browser developed by Apple,easy
SAFFRON,Expensive spice from a crocus flower,hard
SAGA,Long story,easy
SAGACIOUS,Wise and insightful,hard
SAHARA,The world's largest hot desert in North Africa,easy
SAILING,Sport of traveling on water using wind power,easy
SALAD,A dish of mixed raw vegetables; often served with dressing,easy
SALINITY,Salt concentration,hard
SALT,A mineral used to season or preserve food,easy
SANCTUM,Sacred place,hard
SANDWICH,Bread with filling between two slices,easy
SAPPHIRE,A precious blue gemstone,hard
SARDONIC,Grimly mocking or cynical,hard
SATELLITE,A natural or artificial object that orbits a planet,easy
SATIRE,The use of humor and irony to criticize or expose folly,easy
SATURDAY,The first day of the weekend,easy
SATURN,Planet famous for its spectacular rings,easy
SAVANNA,Tropical grassland,easy
SAVE,To store data so it is not lost,easy
SAVORY,Having a pleasant salty or herby flavor,easy
SCALAR,Quantity with magnitude only,hard
SCANNER,A device that converts physical documents into digital files,easy
SCARAB,Dung beetle,hard
SCENE,A sequence of continuous dramatic action,easy
SCHEMA,Organized framework,hard
SCHOOL,A place where children learn,easy
SCORE,The total number of points won by each side in a game,easy
SCORIA,Porous volcanic rock,hard
SCRABBLE,Word-building game using letter tiles and a board,easy
SCREEN,The display surface of a monitor or device,easy
SCRIPT,The written text of a play or film,easy
SCRUPULOUS,Diligent; thorough; very attentive to doing right,hard
SCULPTURE,Art created by shaping materials like stone or metal,easy
SEARCH,To look for specific information using a search engine,easy
SEASON,A complete set of episodes in one broadcast year,easy
SEATTLE,The Emerald City in Washington state,easy
SECOND,A sixtieth part of a minute,easy
SECTOR,Part of a whole,easy
SEDGE,Grass-like plant,hard
SEDIMENTARY,Rock formed from deposited material,hard
SEGA,Japanese company that created Sonic the Hedgehog,easy
SEISMIC,Relating to earthquakes,hard
SELFIE,A photo taken of yourself using your own camera,easy
SEMAPHORE,A signaling system using flags or lights,hard
SENDER,The person who sends a message,easy
SEOUL,The capital city of South Korea,easy
SEPTEMBER,The ninth month; often the start of autumn,easy
SEQUEL,A book or film that continues the story of a previous one,easy
SERENDIPITY,The occurrence of events by lucky chance,hard
SERIES,A set of related television programmes,easy
SERVER,A computer that hosts and serves data to other computers,hard
SET,The location constructed or used for filming a scene,easy
SEXTANT,Navigational instrument,hard
SHADOW,Dark area formed when an object blocks light,easy
SHAKIRA,Colombian singer whose hips don't lie,easy
SHARD,Broken piece,easy
SHATTER,To break suddenly into many pieces,easy
SHEEP,Farm animal with woolly fleece,easy
SHELTER,A place providing protection from danger,easy
SHIRT,Clothing worn on the upper body,easy
SHREK,A green ogre with a Scottish accent,easy
SIDEKICK,A hero's loyal companion and helper,easy
SIGMA,Greek letter,easy
SILICON,A semiconductor element used to make computer chips,easy
SILT,Fine sediment,easy
SILVER,A shiny grey precious metal,easy
SINATRA,The Chairman of the Board and Old Blue Eyes,easy
SINEW,Tendon or strength,hard
SINGAPORE,Prosperous island city-state in Southeast Asia,easy
SITCOM,Situation comedy series set in recurring locations,easy
SKEIN,Length of yarn,hard
SKELETON,The framework of bones in the body,easy
SKY,The region of the atmosphere seen from the ground,easy
SLATE,Fine-grained rock,easy
SMILE,An expression of happiness,easy
SNACK,A small amount of food eaten between main meals,easy
SNAIL,Slow-moving creature with a spiral shell,easy
SNAKE,Legless reptile,easy
SNOW,Frozen precipitation that falls as white flakes,easy
SNOWFLAKE,A delicate six-sided crystal of ice,easy
SOAP,A substance used with water for cleaning,easy
SOCCER,World's most popular sport played with a round ball,easy
SOCIAL,Relating to interaction between people in a community,easy
SOCKS,Coverings worn on the feet inside shoes,easy
SODA,A sweet carbonated soft drink,easy
SOFA,A long upholstered seat for more than one person,easy
SOFTBALL,Team sport similar to baseball using a larger ball,easy
SOFTWARE,Programs and applications run by a computer,easy
SOLACE,Comfort in a time of distress,hard
SOLDIER,Member of an army,easy
SOLILOQUY,Act of speaking one's thoughts aloud when alone,hard
SOLITAIRE,A patience card game played by one person,easy
SOLSTICE,Sun’s extreme position,hard
SONATA,An instrumental composition in several movements,hard
SONIC,Sega's speedy blue hedgehog,easy
SONNET,A 14-line poem,easy
SOPHISTICATED,Having worldly experience and refinement,hard
SOPRANO,The highest female singing voice,hard
SOUP,A savory liquid dish made from boiling meat or vegetables,easy
SOUR,Having a sharp acidic taste like a lemon,easy
SPACE,The vast expanse beyond Earth's atmosphere,easy
SPAIN,Country known for flamenco; tapas; and bullfighting,easy
SPAM,Unsolicited bulk messages sent over the internet,easy
SPECIES,A group of organisms able to interbreed,easy
SPECTRUM,A range of different colors or elements,hard
SPHERE,A perfectly round solid shape,easy
SPHINX,A mythical creature with a human head and lion's body,easy
SPICE,An aromatic substance used to flavor food,easy
SPICY,Having a hot pungent flavor from chili or pepper,easy
SPINOFF,A show or film derived from an existing one,easy
SPOILER,Information that reveals an upcoming plot twist,easy
SPOOF,A light-hearted parody of something,easy
SPOON,Utensil with a shallow bowl used for eating,easy
SPRUCE,Evergreen tree,easy
SPUR,Projection or incentive,easy
SQUANDER,Waste resources in a reckless manner,hard
SQUARE,A four-sided shape with all sides equal and all right angles,easy
STADIUM,A large outdoor arena built for sporting events,easy
STAGE,The raised platform where actors perform,easy
STAR,A ball of burning gas visible in the night sky,easy
STASIS,A period of no change or development,hard
STATISTICS,Branch of mathematics concerned with analyzing data,hard
STEAK,A thick cut of meat from beef,easy
STEPPE,Treeless grassy plain,hard
STONES,Classic rock band fronted by Mick Jagger,easy
STORM,Heavy rain with wind and thunder,easy
STOVE,A kitchen appliance used for cooking on a flat surface,easy
STRATA,Layers of rock,hard
STREAMING,Watching video or listening to audio over the internet,easy
STREET,A paved road in a town or city,easy
STRIATION,Linear mark,hard
STUDIO,A facility where films; music; or art is produced,easy
STUNTMAN,A person trained to perform dangerous scenes in films,easy
SUBJECT,The title line summarizing the content of an email,easy
SUBMARINE,Underwater vessel,easy
SUBSTRATE,Underlying layer,hard
SUDOKU,Number-placement logic puzzle,easy
SUFFRAGE,Right to vote,easy
SUGAR,A sweet crystalline substance used to sweeten food,easy
SUMMER,The warmest season of the year,easy
SUMMIT,Highest point,easy
SUN,The star at the center of our solar system,easy
SUNDAY,The last day of the week and the traditional day of rest,easy
SUNSHINE,Bright warm light from the sun,easy
SUPERHERO,A fictional hero with extraordinary powers,easy
SURGE,Sudden increase,easy
SURPRISE,Something unexpected that causes wonder or shock,easy
SURREPTITIOUS,Kept secret; stealthy,hard
SWAMP,Wetland,easy
SWEDEN,Scandinavian country known for IKEA and ABBA,easy
SWEET,Having a sugary taste like honey or ripe fruit,easy
SWIFT,Taylor-made pop superstar and singer-songwriter,easy
SWIMMING,Sport of propelling oneself through water,easy
SYCOPHANT,A person who seeks favor through flattery,hard
SYDNEY,Australian city famous for its Opera House and Harbour Bridge,easy
SYMBIOSIS,Close biological relationship between species,hard
SYMBOL,Representation,easy
